control_id,family,statement,priority,nist_800_53,pci_dss,iso_27001,cmmc
IR-2,Incident Response,"Security incidents are detected through automated monitoring, triaged within defined timeframes, and tracked to closure.",High,IR-2
PE-1,Physical/Environmental,"Physical access to facilities housing sensitive systems is authorized, logged, and audited.",High,PE-1
PL-1,Planning,"Security policies, standards, and procedures are maintained with named owners, review dates, and version control.",High,PL-1
PM-1,Program Management,"Security program metrics are defined, tracked, and reported to leadership on a regular cadence.",High,PM-1
PS-1,Personnel Security,Personnel with access to sensitive systems or data undergo background screening before access is granted.,High,PS-1
SA-1,System/Services Acquisition,Security requirements are included in procurement contracts for all technology acquisitions.,High,SA-1
AC-8,Access Control,Devices lock after 15 min inactivity. Re-auth required to unlock.,High,AC-8
AC-9,Access Control,Sessions revoked on account termination. No persistent tokens.,High,AC-9
AC-10,Access Control,Corporate wireless 802.1X. Guest isolated. Rogue AP detected.,High,AC-10
AC-11,Access Control,Users cannot grant third-party app access without admin approval.,High,AC-11
AC-12,Access Control,Every shared resource has a named owner. Ownerless locked after 90 days.,High,AC-12
AC-13,Access Control,External sharing requires authentication. Anonymous Anyone links disabled.,High,AC-13
AU-5,Audit/Accountability,"Logging failure (disk full, SIEM offline) alerts within 4 hours.",High,AU-5
AU-6,Audit/Accountability,Daily summary of critical events. Raw logs searchable.,High,AU-6
AU-7,Audit/Accountability,All systems sync to authoritative NTP. Timestamps consistent.,High,AU-7
AU-8,Audit/Accountability,Cross-org audit events logged and traceable.,High,AU-8
CM-5,Configuration Mgmt,Production systems can only be changed by authorized personnel. Changes reviewed before deployment.,High,CM-5
CM-6,Configuration Mgmt,Only authorized software can be installed. AppLocker or equivalent enforces this.,High,CM-6
CM-7,Configuration Mgmt,"Configuration baseline exceptions have documented business justification, compensating controls, and expiration.",High,CM-7
CP-3,Contingency Planning,Critical data and processing capability maintained at an alternate location.,High,CP-3
CP-4,Contingency Planning,Contingency plan tested annually via tabletop and technical exercise.,High,CP-4
IA-4,Identification/Auth,Every user has a unique identifier. Shared accounts prohibited.,High,IA-4
IA-5,Identification/Auth,Identity verified before account creation. Remote proofing meets NIST IAL2.,High,IA-5
RA-4,Risk Assessment,Every system categorized by impact level (Low/Moderate/High) per FIPS 199.,High,RA-4
SI-4,System/Information Integrity,"Security alerts from all sources (SIEM, EDR, cloud, network) centralized and triaged.",High,SI-4
SC-4,System/Comms Protection,Internet-facing systems protected against Denial-of-Service attacks.,High,SC-4
SC-5,System/Comms Protection,Cryptographic keys managed through a secure KMS. Keys rotated annually. CMK preferred over platform-managed for regulated data.,High,SC-5
SC-6,System/Comms Protection,"Cameras, microphones, and screen sharing on company devices can be disabled by the user and cannot be enabled remotely without notification.",High,SC-6
MA-1,Maintenance,System maintenance performed by authorized personnel. Maintenance activities logged.,High,MA-1
MA-2,Maintenance,"Remote maintenance sessions require MFA, are recorded, and terminated when complete.",High,MA-2
MP-1,Media Protection,Media containing sensitive data is sanitized before disposal or reuse.,High,MP-1
MP-2,Media Protection,"Portable media (USB, external drives) encrypted. Auto-run disabled. Unencrypted media blocked.",High,MP-2
MA-3,Maintenance,Maintenance tools and diagnostic equipment are authorized and malware-free.,High,MA-3
IA-6,Identification/Auth,Re-authentication required for privilege escalation or accessing sensitive data.,High,IA-6
RA-5,Risk Assessment,Security alerts have defined SLAs. SLA compliance tracked and reported monthly.,High,RA-5
SI-6,System/Information Integrity,Software verified for integrity before install. Signed binaries and checksums validated.,High,SI-6
SI-7,System/Information Integrity,All input to applications and APIs validated. WAF blocks injection attacks.,High,SI-7
SC-7,System/Comms Protection,"Sessions managed securely: Secure+HttpOnly cookies, 15-min timeout, server-side invalidation on logout.",High,SC-7
AT-2,Awareness/Training,Personnel receive role-specific security training beyond general awareness.,High,AT-2
IR-3,Incident Response,IR team trained on roles. Annual tabletop + technical exercise.,High,IR-3
IR-5,Incident Response,All personnel know how to report incidents. Reports acknowledged within 1 hour.,High,IR-5
PE-2,Physical/Environmental,Physical access to sensitive areas monitored. Video retained 90 days.,High,PE-2
PL-2,Planning,"Authoritative SSPs exist for all in-scope systems. Current, accurate, reviewed annually.",High,PL-2
PM-2,Program Management,"Risk appetite, tolerance thresholds, and decision authority documented.",High,PM-2
PM-3,Program Management,"Security program documented with scope, governance, resources, maturity targets.",High,PM-3
SA-2,System/Services Acquisition,Software supply chain verified. SBOMs collected and scanned.,High,SA-2
AU-9,Audit/Accountability,Actions attributable to a named individual. No shared accounts.,High,AU-9
CP-5,Contingency Planning,Critical communication paths have redundancy.,High,CP-5
IA-7,Identification/Auth,External users authenticate to same standard as employees. Guest MFA required.,High,IA-7
PS-2,Personnel Security,Access revoked immediately on termination. Assets returned.,High,PS-2
PM-4,Program Management,"Open security findings are tracked in a POA&M with owners, target dates, and closure evidence.",High,PM-4
CA-2,Security Assessment,"Control effectiveness is monitored continuously, not just during annual assessments.",High,CA-2
AT-3,Awareness/Training,"Third parties (contractors, vendors) with access to organizational data complete security awareness training.",High,AT-3
PE-3,Physical/Environmental,"Portable devices (laptops, tablets, phones) are encrypted, managed, and can be remotely wiped.",High,PE-3
PS-3,Personnel Security,Insider threat indicators are monitored and investigated. Data exfiltration and unauthorized access patterns trigger alerts.,High,PS-3
CP-6,Contingency Planning,"The contingency plan is documented, accessible to response teams, and distributed to stakeholders.",High,CP-6
IA-8,Identification/Auth,"Access for customers or constituents (non-employees accessing portals, self-service apps) is authenticated and logged.",High,IA-8
PM-5,Program Management,"Cybersecurity insurance coverage is maintained, aligned with control implementation, and reported to underwriters.",High,PM-5
PM-6,Program Management,"The security program has a defined budget, aligned to control implementation priorities.",High,PM-6
IR-6,Incident Response,IR activities are coordinated with internal and external stakeholders. Communication follows a defined plan.,High,IR-6
SI-8,System/Information Integrity,DNS and other name resolution services are secured against spoofing and cache poisoning.,High,SI-8
SI-7,System/Information Integrity,"Critical security functions (antivirus, firewall, IDS/IPS) are verified to be operating at defined intervals.",High,SI-7
PL-3,Planning,"System architecture, network topology, and data flows are documented and current.",High,PL-3
PS-4,Personnel Security,Personnel with privileged or sensitive access are screened before access is granted.,High,PS-4
CM-8,Configuration Mgmt,"Systems being decommissioned follow a defined process: data sanitized, assets returned, access revoked.",High,CM-8
